,room_numbers,class,lift,parking,square,price
0,2,IV класс (эконом),1–3 лифта (1–2 грузопассажирских и легковой),отсутствует,70.09,24328200
1,3,IV класс (эконом),1–3 лифта (1–2 грузопассажирских и легковой),отсутствует,91.19,31500300
0,1,III класс (комфорт),"пассажирские, грузовые","надземный (1-уровневый, отапливаемый, 140 машиномест)",45.11,11460000
1,2,III класс (комфорт),"пассажирские, грузовые","надземный (1-уровневый, отапливаемый, 140 машиномест)",67.24,13827200
2,3,III класс (комфорт),"пассажирские, грузовые","надземный (1-уровневый, отапливаемый, 140 машиномест)",89.42,24455700
0,1,III класс (комфорт),да,отсутствует,34.56,16312320
1,2,III класс (комфорт),да,отсутствует,53.26,23381140
2,3,III класс (комфорт),да,отсутствует,73.46,32248940
0,1,комфорт +,да,крытый,52.68,16460709

1,2,комфорт +,да,крытый,76.51,19937223
2,3,комфорт +,да,крытый,90.8,29745576
3,4,комфорт +,да,крытый,99.39,36211051
0,1,II класс (бизнес),отсутствует,"подземный, гостевой",53.34,29322500
1,2,II класс (бизнес),отсутствует,"подземный, гостевой",77.11,41580000
2,3,II класс (бизнес),отсутствует,"подземный, гостевой",100.64,57566080
3,4,II класс (бизнес),отсутствует,"подземный, гостевой",144.08,79403090
0,1,III класс (комфорт),"да, 2–3 лифта на этажах","наземный, гостевой",44.36,13850000
1,2,III класс (комфорт),"да, 2–3 лифта на этажах","наземный, гостевой",74.34,21847500
2,3,III класс (комфорт),"да, 2–3 лифта на этажах","наземный, гостевой",86.45,33884400
3,4,III класс (комфорт),"да, 2–3 лифта на этажах","наземный, гостевой",118.7,49288800
0,1,II класс (бизнес),"да, 1 пассажирский, 2 грузопассажирских",надземный,44.66,25456200
1,2,II класс (бизнес),"да, 1 пассажирский, 2 грузопассажирских",надземный,73.98,42760440
2,3,II класс (бизнес),"да, 1 пассажирский, 2 грузопассажирских",надземный,107.35,58935150
0,1,II класс (бизнес),"да, 1 лифт",подземный,52.4,26403200
1,2,II класс (бизнес),"да, 1 лифт",подземный,75.44,28125920
2,3,II класс (бизнес),"да, 1 лифт",подземный,107.94,51893520
3,4,II класс (бизнес),"да, 1 лифт",подземный,126.6,63684720
0,2,III класс (комфорт),"да, пассажирские",наземный,65.1,17052800
1,3,III класс (комфорт),"да, пассажирские",наземный,88.37,25961600
2,4,III класс (комфорт),"да, пассажирские",наземный,102.89,32924800
0,3,II класс (бизнес),1 лифт пассажирский,"подземный, гостевой",116.4,54782800
1,4,II класс (бизнес),1 лифт пассажирский,"подземный, гостевой",124.7,68547600
0,С,III класс (комфорт),"да, 1–3 лифта на площадке (грузовой, пассажирский)","наземный, гостевой",64.48,30058000
1,1,III класс (комфорт),"да, 1–3 лифта на площадке (грузовой, пассажирский)","наземный, гостевой",47.05,15352000
2,2,III класс (комфорт),"да, 1–3 лифта на площадке (грузовой, пассажирский)","наземный, гостевой",81.84,23664500
3,3,III класс (комфорт),"да, 1–3 лифта на площадке (грузовой, пассажирский)","наземный, гостевой",96.77,37116500
4,4,III класс (комфорт),"да, 1–3 лифта на площадке (грузовой, пассажирский)","наземный, гостевой",121.5,49371300
0,1,I класс (элит),отсутствует,"подземный, гостевой",51.83,30994340
1,2,I класс (элит),отсутствует,"подземный, гостевой",80.33,46069440
2,4,I класс (элит),отсутствует,"подземный, гостевой",134.69,77581440
0,1,комфорт +,3 высокоскоростных лифта Sigma (Южная Корея) в каждом подъезде,"одноуровневый, наземный, закрытый (71 паркоместо)",40.12,17414258
1,2,комфорт +,3 высокоскоростных лифта Sigma (Южная Корея) в каждом подъезде,"одноуровневый, наземный, закрытый (71 паркоместо)",57.26,24550502
2,3,комфорт +,3 высокоскоростных лифта Sigma (Южная Корея) в каждом подъезде,"одноуровневый, наземный, закрытый (71 паркоместо)",81.41,34159817
3,4,комфорт +,3 высокоскоростных лифта Sigma (Южная Корея) в каждом подъезде,"одноуровневый, наземный, закрытый (71 паркоместо)",99.86,43101971
0,2,комфорт +,"да, пассажирские и грузовые",не предусмотрен,63.21,21150562
1,3,комфорт +,"да, пассажирские и грузовые",не предусмотрен,97.74,28170509
2,4,комфорт +,"да, пассажирские и грузовые",не предусмотрен,100.87,34395661
0,2,III класс (комфорт),"да, 1 пассажирский",отсутствует,69.26,28864720
1,3,III класс (комфорт),"да, 1 пассажирский",отсутствует,99.46,37940930
2,4,III класс (комфорт),"да, 1 пассажирский",отсутствует,109.07,47009170
0,1,III класс (комфорт),грузопассажирский,наземный,42.81,12576600
1,2,III класс (комфорт),грузопассажирский,наземный,68.47,13894200
2,3,III класс (комфорт),грузопассажирский,наземный,73.5,21042800
0,1,III класс (комфорт),"пассажирские, грузовые","подземный, гостевой",44.39,16317000
1,2,III класс (комфорт),"пассажирские, грузовые","подземный, гостевой",78.27,23739200
2,3,III класс (комфорт),"пассажирские, грузовые","подземный, гостевой",92.87,31350100
3,4,III класс (комфорт),"пассажирские, грузовые","подземный, гостевой",120.96,43463900
0,1,III класс (комфорт),"да, грузопассажирский FUJI",наземный,44.5,17355000
1,2,III класс (комфорт),"да, грузопассажирский FUJI",наземный,97.3,21247200
2,3,III класс (комфорт),"да, грузопассажирский FUJI",наземный,102,31200000
0,2,I класс (элит),"да, грузопассажирский и легковой",подземный,81.2,49477500
1,3,I класс (элит),"да, грузопассажирский и легковой",подземный,134.15,61140000
2,4,I класс (элит),"да, грузопассажирский и легковой",подземный,187.91,98752500
3,5,I класс (элит),"да, грузопассажирский и легковой",подземный,206.38,115477500
4,6,I класс (элит),"да, грузопассажирский и легковой",подземный,234.37,187496000
5,П,I класс (элит),"да, грузопассажирский и легковой",подземный,216.79,144603000
