ЖК Qazaq Eli Kulanв Нур-Султане (Астане),Цена / м2от ‍360 990 ₸≈ $830,Группа компаний MWC,Группа компаний MWC,ул. Ахмета Байтурсынова / ул. А82,"Жилой комплекс Qazaq Eli Kulan – спроектированные в едином современном стиле здания переменной этажности, расположенные в полукилометре от вокзала «Нурлы Жол»."
//storage.googleapis.com/bd-kz-01/layouts-180x180/112048.jpg,1,38.87–52.68 м2,от ‍390 990 ₸ / м2≈ $900,от ‍16 460 709 ₸≈ $37 910
//storage.googleapis.com/bd-kz-01/layouts-180x180/112052.jpg,2,49.72–76.51 м2,от ‍370 990 ₸ / м2≈ $850,от ‍19 937 223 ₸≈ $45 920
//storage.googleapis.com/bd-kz-01/layouts-180x180/112050.jpg,3,82.4–90.8 м2,от ‍360 990 ₸ / м2≈ $830,от ‍29 745 576 ₸≈ $68 500
//storage.googleapis.com/bd-kz-01/layouts-180x180/112051.jpg,4,от 99.39 м2,от ‍364 333 ₸ / м2≈ $840,от ‍36 211 051 ₸≈ $83 390
//storage.googleapis.com/bd-kz-01/layouts-180x180/112587.jpg,К,58.24–115.55 м2,от ‍420 990 ₸ / м2≈ $970,от ‍24 518 458 ₸≈ $56 470
Класс,комфорт +
Количество домов,4
Наличие лифта,да
Отопление,центральное
Паркинг,крытый
Стены,газоблок
Территория,"закрытый двор, круглосуточная охрана, видеонаблюдение, детские и спортивные площадки"
Технология строительства,монолитно-каркасная
Фасад,фиброцементные панели (вентилируемый навесной фасад)
Этажность,9–17
"['Класс', 'комфорт +']"
"['Количество домов', '4']"
"['Наличие лифта', 'да']"
"['Отопление', 'центральное']"
"['Паркинг', 'крытый']"
"['Стены', 'газоблок']"
"['Территория', 'закрытый двор, круглосуточная охрана, видеонаблюдение, детские и спортивные площадки']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементные панели (вентилируемый навесной фасад)']"
"['Этажность', '9–17']"
