ЖК LandMarkв Нур-Султане (Астане),Цена / м2от ‍572 000 ₸≈ $1 320на ‍12 000 ₸≈ $27.6,BAZIS-А,BAZIS-А,"ул. Достык, стр. 10/1","Жилой комплекс LandMark – новый проект от крупнейшего застройщика BAZIS-А, который сочетает в себе современные квартиры бизнес-класса, благоустроенную территорию, собственную инфраструктуру и удачное расположение в престижном районе в левобережной части столицы."
//storage.googleapis.com/bd-kz-01/layouts-180x180/78791.jpg,1,46.25–53.34 м2,от ‍634 000 ₸ / м2≈ $1 460,от ‍29 322 500 ₸≈ $67 530
//storage.googleapis.com/bd-kz-01/layouts-180x180/78793.jpg,2,69.25–77.11 м2,от ‍600 000 ₸ / м2≈ $1 380,от ‍41 580 000 ₸≈ $95 760
//storage.googleapis.com/bd-kz-01/layouts-180x180/78794.jpg,3,99.49–100.64 м2,от ‍572 000 ₸ / м2≈ $1 320,от ‍57 566 080 ₸≈ $132 570
//storage.googleapis.com/bd-kz-01/layouts-180x180/78796.jpg,4,134.81–144.08 м2,от ‍589 000 ₸ / м2≈ $1 360,от ‍79 403 090 ₸≈ $182 870
Класс,II класс (бизнес)
Паркинг,"подземный, гостевой"
Территория,"закрытый двор, круглосуточная система видеонаблюдения, игровые площадки, спортивные комплексы, места для отдыха"
Технология строительства,монолитно-каркасная
Фасад,"вентилируемый, керамическая плитка CREATON, клинкерный кирпич"
Этажность,9–21
"['Класс', 'II класс (бизнес)']"
"['Паркинг', 'подземный, гостевой']"
"['Территория', 'закрытый двор, круглосуточная система видеонаблюдения, игровые площадки, спортивные комплексы, места для отдыха']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'вентилируемый, керамическая плитка CREATON, клинкерный кирпич']"
"['Этажность', '9–21']"
