ЖК Monaco Residenceв Нур-Султане (Астане),Цена / м2от ‍576 000 ₸≈ $1 330,BAZIS-А,BAZIS-А,ул. Калдаякова / просп. Тауелсыздык,ЖК Monaco в Нур-Султане находится на пересечении улицы Шамши Калдаякова и проспекта Тауелсыздик.
//storage.googleapis.com/bd-kz-01/layouts-180x180/117185.png,1,от 51.83 м2,от ‍598 000 ₸ / м2≈ $1 380,от ‍30 994 340 ₸≈ $71 380
//storage.googleapis.com/bd-kz-01/layouts-180x180/117187.png,2,77.82–80.33 м2,от ‍592 000 ₸ / м2≈ $1 360,от ‍46 069 440 ₸≈ $106 100
//storage.googleapis.com/bd-kz-01/layouts-180x180/117186.png,4,от 134.69 м2,от ‍576 000 ₸ / м2≈ $1 330,от ‍77 581 440 ₸≈ $178 670
Класс,I класс (элит)
Количество домов,12
Паркинг,"подземный, гостевой"
Территория,"прогулочные аллеи, игровые комплексы, спортивные комплексы, универсальное спортивное поле, торговая галерея, детский сад, школа"
Технология строительства,монолитно-каркасная
Фасад,"натуральный камень, керамические панели "
Этажность,8–12–14
"['Класс', 'I класс (элит)']"
"['Количество домов', '12']"
"['Паркинг', 'подземный, гостевой']"
"['Территория', 'прогулочные аллеи, игровые комплексы, спортивные комплексы, универсальное спортивное поле, торговая галерея, детский сад, школа']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'натуральный камень, керамические панели ']"
"['Этажность', '8–12–14']"
