ЖК Europe cityв Нур-Султане (Астане),Цена / м2от ‍750 000 ₸≈ $1 730,ORDA INVEST,ORDA INVEST,ул. Акмешит,"Жилой комплекс Europe city – стильная высотная новостройка с квартирами элит- и премиум-класса, в которой сочетаются современные тенденции на рынке недвижимости со стремлением застройщика создать многофункциональное комфортабельное жилье."
//storage.googleapis.com/bd-kz-01/layouts-180x180/114698.png,2,65.97–81.2 м2,от ‍750 000 ₸ / м2≈ $1 730,от ‍49 477 500 ₸≈ $113 950
//storage.googleapis.com/bd-kz-01/layouts-180x180/113113.png,3,81.52–134.15 м2,от ‍750 000 ₸ / м2≈ $1 730,от ‍61 140 000 ₸≈ $140 810
//storage.googleapis.com/bd-kz-01/layouts-180x180/113112.png,4,128.99–187.91 м2,от ‍750 000 ₸ / м2≈ $1 730,от ‍98 752 500 ₸≈ $227 430
//storage.googleapis.com/bd-kz-01/layouts-180x180/105266.jpg,5,153.97–206.38 м2,от ‍750 000 ₸ / м2≈ $1 730,от ‍115 477 500 ₸≈ $265 940
//storage.googleapis.com/bd-kz-01/layouts-180x180/99717.jpg,6,222.1–234.37 м2,от ‍800 000 ₸ / м2≈ $1 840,от ‍187 496 000 ₸≈ $431 800
//storage.googleapis.com/bd-kz-01/layouts-180x180/113116.jpg,П,160.67–216.79 м2,от ‍900 000 ₸ / м2≈ $2 070,от ‍144 603 000 ₸≈ $333 020
Класс,I класс (элит)
Количество домов,7 (6 жилых)
Наличие лифта,"да, грузопассажирский и легковой"
Отопление,центральное
Паркинг,подземный
Территория,"закрытый двор, охрана, круглосуточная система видеонаблюдения, детские игровые комнаты, лаунж рум с пулом, шахматная зона, кинорум, лаундж зона с бильярдом, настольный теннис"
Технология строительства,монолитно-каркасная
Этажность,18–22
"['Класс', 'I класс (элит)']"
"['Количество домов', '7 (6 жилых)']"
"['Наличие лифта', 'да, грузопассажирский и легковой']"
"['Отопление', 'центральное']"
"['Паркинг', 'подземный']"
"['Территория', 'закрытый двор, охрана, круглосуточная система видеонаблюдения, детские игровые комнаты, лаунж рум с пулом, шахматная зона, кинорум, лаундж зона с бильярдом, настольный теннис']"
"['Технология строительства', 'монолитно-каркасная']"
"['Этажность', '18–22']"
