ЖК Sat Cityв Нур-Султане (Астане),Цена / м2от ‍440 000 ₸≈ $1 010,SAT-NS,SAT-NS,ул. Сыганак (район Хан-Шатыр),Жилой комплекс Sat City – оригинальный проект комфортабельной новостройки переменной этажности с квартирами улучшенной планировки и благоустроенной территорией в престижном районе Нур-Султана.
//storage.googleapis.com/bd-kz-01/layouts-180x180/80199.jpg,1,33.77–44.36 м2,от ‍408 831 ₸ / м2≈ $940,от ‍13 850 000 ₸≈ $31 900
//storage.googleapis.com/bd-kz-01/layouts-180x180/77505.jpg,2,48.55–74.34 м2,от ‍450 000 ₸ / м2≈ $1 040,от ‍21 847 500 ₸≈ $50 310
//storage.googleapis.com/bd-kz-01/layouts-180x180/77518.jpg,3,77.01–86.45 м2,от ‍440 000 ₸ / м2≈ $1 010,от ‍33 884 400 ₸≈ $78 040
//storage.googleapis.com/bd-kz-01/layouts-180x180/77525.jpg,4,112.02–118.7 м2,от ‍440 000 ₸ / м2≈ $1 010,от ‍49 288 800 ₸≈ $113 510
Класс,III класс (комфорт)
Количество домов,11
Наличие лифта,"да, 2–3 лифта на этажах"
Паркинг,"наземный, гостевой"
Стены,газоблок
Технология строительства,монолитно-каркасная
Фасад,"фиброцементные панели, лаймстоун, клинкерный кирпич, гранит"
Этажность,12–18
"['Класс', 'III класс (комфорт)']"
"['Количество домов', '11']"
"['Наличие лифта', 'да, 2–3 лифта на этажах']"
"['Паркинг', 'наземный, гостевой']"
"['Стены', 'газоблок']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементные панели, лаймстоун, клинкерный кирпич, гранит']"
"['Этажность', '12–18']"
