ЖК Sohoв Нур-Султане (Астане),Цена / м2от ‍553 000 ₸≈ $1 270,BAZIS-А,BAZIS-А,"ул. Керей, Жәнібек хандар / ул. Бухар Жырау / ул. №37 / ул. №38","Жилой комплекс Soho – новый проект известного застройщика BAZIS-А. Он обещает стать одним из самых масштабных в истории не только компании, но и всей столицы. Спроектированный по принципу город в городе, Soho станет настоящим мега-кварталом."
//storage.googleapis.com/bd-kz-01/layouts-180x180/104060.jpg,1,44.6–52.4 м2,от ‍563 000 ₸ / м2≈ $1 300,от ‍26 403 200 ₸≈ $60 810
//storage.googleapis.com/bd-kz-01/layouts-180x180/95982.png,2,47.51–75.44 м2,от ‍553 000 ₸ / м2≈ $1 270,от ‍28 125 920 ₸≈ $64 770
//storage.googleapis.com/bd-kz-01/layouts-180x180/81685.png,3,90–107.94 м2,от ‍553 000 ₸ / м2≈ $1 270,от ‍51 893 520 ₸≈ $119 510
//storage.googleapis.com/bd-kz-01/layouts-180x180/104097.jpg,4,111–126.6 м2,от ‍561 000 ₸ / м2≈ $1 290,от ‍63 684 720 ₸≈ $146 670
Класс,II класс (бизнес)
Наличие лифта,"да, 1 лифт"

Отопление,центральное
Паркинг,подземный
Стены,газоблок
Технология строительства,монолитно-каркасная
Фасад,"фиброцементные панели, гранит, натуральный камень"
Этажность,7–9–12
"['Класс', 'II класс (бизнес)']"
"['Наличие лифта', 'да, 1 лифт']"
"['Отопление', 'центральное']"
"['Паркинг', 'подземный']"
"['Стены', 'газоблок']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементные панели, гранит, натуральный камень']"
"['Этажность', '7–9–12']"
