ЖК Sancyв Нур-Султане (Астане),Цена / м2от ‍310 000 ₸≈ $710на ‍10 000 ₸≈ $20,Asyl Tas Qala,Asyl Tas Qala,ул. Нажимеденова / ул. А85 / ул. А86,Жилой комплекс Sancy – спроектированная в современном стиле новостройка переменной этажности с комфортабельными квартирами разнообразной планировки и благоустроенной территорией.
//storage.googleapis.com/bd-kz-01/layouts-180x180/90533.png,1,36.99–42.81 м2,от ‍340 000 ₸ / м2≈ $780,от ‍12 576 600 ₸≈ $28 960
//storage.googleapis.com/bd-kz-01/layouts-180x180/90529.png,2,44.82–68.47 м2,от ‍310 000 ₸ / м2≈ $710,от ‍13 894 200 ₸≈ $32 000
//storage.googleapis.com/bd-kz-01/layouts-180x180/90531.png,3,67.88–73.5 м2,от ‍310 000 ₸ / м2≈ $710,от ‍21 042 800 ₸≈ $48 460
//storage.googleapis.com/bd-kz-01/layouts-180x180/116914.jpg,К,66.63–328.71 м2,от ‍350 000 ₸ / м2≈ $810,от ‍23 320 500 ₸≈ $53 710
Класс,III класс (комфорт)
Количество домов,1
Количество секций,8
Наличие лифта,грузопассажирский
Отопление,центральное
Паркинг,наземный
Стены,"газоблок, кирпич"
Территория,закрытый двор
Технология строительства,монолитно-каркасная
Фасад,"фиброцементные панели, неоновая подсветка"
Этажность,8–9
"['Класс', 'III класс (комфорт)']"
"['Количество домов', '1']"
"['Количество секций', '8']"
"['Наличие лифта', 'грузопассажирский']"
"['Отопление', 'центральное']"
"['Паркинг', 'наземный']"
"['Стены', 'газоблок, кирпич']"
"['Территория', 'закрытый двор']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементные панели, неоновая подсветка']"
"['Этажность', '8–9']"
