ЖК Hollandв Нур-Султане (Астане),Цена / м2от ‍594 000 ₸≈ $1 370,BAZIS-А,BAZIS-А,"ул. Шамши Калдаякова / просп. Тауелсыздык и ул. № А13, А19, А33, А34","Жилой комплекс Holland – яркое продолжение проекта «Городской романс», автором которого выступает корпорация BAZIS-А."
//storage.googleapis.com/bd-kz-01/layouts-180x180/99590.jpg,3,90.7–116.4 м2,от ‍604 000 ₸ / м2≈ $1 390,от ‍54 782 800 ₸≈ $126 160
//storage.googleapis.com/bd-kz-01/layouts-180x180/89875.jpg,4,115.4–124.7 м2,от ‍594 000 ₸ / м2≈ $1 370,от ‍68 547 600 ₸≈ $157 870
Класс,II класс (бизнес)
Количество домов,14
Наличие лифта,1 лифт пассажирский
Отопление,центральное
Паркинг,"подземный, гостевой"
Территория,закрытый двор
Технология строительства,монолитно-каркасная
Фасад,фиброцементная плита
Этажность,9–10
"['Класс', 'II класс (бизнес)']"
"['Количество домов', '14']"
"['Наличие лифта', '1 лифт пассажирский']"
"['Отопление', 'центральное']"
"['Паркинг', 'подземный, гостевой']"
"['Территория', 'закрытый двор']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементная плита']"
"['Этажность', '9–10']"
