ЖК Grand Victoriaв Нур-Султане (Астане),Цена / м2от ‍370 000 ₸≈ $850,Best Building,Best Building,ул. Жумекена Нажимеденова / ул. Сагадат Нурмагамбетова,"Жилой комплекс Grand Victoria – роскошная многоквартирная новостройка с благоустроенной территорией и собственной инфраструктурой, расположенная в развивающемся районе Нур-Султана."
//storage.googleapis.com/bd-kz-01/layouts-180x180/104499.png,1,44.1–44.39 м2,от ‍370 000 ₸ / м2≈ $850,от ‍16 317 000 ₸≈ $37 580
//storage.googleapis.com/bd-kz-01/layouts-180x180/104497.png,2,64.16–78.27 м2,от ‍370 000 ₸ / м2≈ $850,от ‍23 739 200 ₸≈ $54 670
//storage.googleapis.com/bd-kz-01/layouts-180x180/104509.png,3,84.73–92.87 м2,от ‍370 000 ₸ / м2≈ $850,от ‍31 350 100 ₸≈ $72 200
//storage.googleapis.com/bd-kz-01/layouts-180x180/104527.png,4,117.47–120.96 м2,от ‍370 000 ₸ / м2≈ $850,от ‍43 463 900 ₸≈ $100 100
Класс,III класс (комфорт)
Количество домов,4
Наличие лифта,"пассажирские, грузовые"
Отопление,центральное
Паркинг,"подземный, гостевой"
Территория,безопасный двор
Этажность,9
"['Класс', 'III класс (комфорт)']"
"['Количество домов', '4']"
"['Наличие лифта', 'пассажирские, грузовые']"
"['Отопление', 'центральное']"
"['Паркинг', 'подземный, гостевой']"
"['Территория', 'безопасный двор']"
"['Этажность', '9']"
