ЖК Silverв Нур-Султане (Астане),Цена / м2от ‍321 800 ₸≈ $740,Almaty Development Company,Almaty Development Company,ул. Е-126 / ул. Е-435,"Жилой комплекс Silver – многоквартирная новостройка в современном стиле с просторными квартирами категории комфорт, находящаяся в динамично развивающемся Есильском районе."
//storage.googleapis.com/bd-kz-01/layouts-180x180/88972.jpg,1,от 44.5 м2,от ‍390 000 ₸ / м2≈ $900,от ‍17 355 000 ₸≈ $39 970
//storage.googleapis.com/bd-kz-01/layouts-180x180/88905.jpg,2,60–97.3 м2,от ‍312 000 ₸ / м2≈ $720,от ‍21 247 200 ₸≈ $48 930
//storage.googleapis.com/bd-kz-01/layouts-180x180/85044.png,3,100–102 м2,от ‍312 000 ₸ / м2≈ $720,от ‍31 200 000 ₸≈ $71 850
Класс,III класс (комфорт)
Количество домов,2
Количество секций,9
Наличие лифта,"да, грузопассажирский FUJI"
Отопление,центральное
Паркинг,наземный
Стены,газоблок
Территория,"детская и спортивная площадка, зона отдыха"
Технология строительства,монолитно-каркасная
Фасад,"фиброцементные фасадные панели, гранитная плитка"
Этажность,10
"['Класс', 'III класс (комфорт)']"
"['Количество домов', '2']"
"['Количество секций', '9']"
"['Наличие лифта', 'да, грузопассажирский FUJI']"
"['Отопление', 'центральное']"
"['Паркинг', 'наземный']"
"['Стены', 'газоблок']"
"['Территория', 'детская и спортивная площадка, зона отдыха']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'фиброцементные фасадные панели, гранитная плитка']"
"['Этажность', '10']"
