ЖК Ozenв Нур-Султане (Астане),Цена / м2от ‍435 990 ₸≈ $1 000,Группа компаний MWC,Группа компаний MWC,"ул. Кенесары, 6/1",ЖК «Özen»– забыть о шуме большого города и погрузиться в настроение уединенного релакса в окружении природы.
//storage.googleapis.com/bd-kz-01/layouts-180x180/107711.jpg,1,39.81–40.12 м2,от ‍434 054 ₸ / м2≈ $1 000,от ‍17 414 258 ₸≈ $40 110
//storage.googleapis.com/bd-kz-01/layouts-180x180/107632.jpg,2,53.84–57.26 м2,от ‍455 990 ₸ / м2≈ $1 050,от ‍24 550 502 ₸≈ $56 540
//storage.googleapis.com/bd-kz-01/layouts-180x180/107634.jpg,3,78.35–81.41 м2,от ‍435 990 ₸ / м2≈ $1 000,от ‍34 159 817 ₸≈ $78 670
//storage.googleapis.com/bd-kz-01/layouts-180x180/107631.jpg,4,98.86–99.86 м2,от ‍435 990 ₸ / м2≈ $1 000,от ‍43 101 971 ₸≈ $99 260
//storage.googleapis.com/bd-kz-01/layouts-180x180/107713.png,К,109.67–674.4 м2,цена уточняется,
Класс,комфорт +
Количество домов,2
Наличие лифта,3 высокоскоростных лифта Sigma (Южная Корея) в каждом подъезде
Отопление,центральное
Паркинг,"одноуровневый, наземный, закрытый (71 паркоместо)"
Стены,газоблок
Территория,"круглосуточная система видеонаблюдения, детская площадка, спортивная площадка"
Технология строительства,монолитно-каркасная
Фасад,декоративная штукатурка
Этажность,18
"['Класс', 'комфорт +']"
"['Количество домов', '2']"
"['Наличие лифта', '3 высокоскоростных лифта Sigma (Южная Корея) в каждом подъезде']"
"['Отопление', 'центральное']"
"['Паркинг', 'одноуровневый, наземный, закрытый (71 паркоместо)']"
"['Стены', 'газоблок']"
"['Территория', 'круглосуточная система видеонаблюдения, детская площадка, спортивная площадка']"
"['Технология строительства', 'монолитно-каркасная']"
"['Фасад', 'декоративная штукатурка']"
"['Этажность', '18']"
