ЖК Алтын Шар 2в Нур-Султане (Астане),Цена / м2от ‍390 000 ₸≈ $900на ‍20 000 ₸≈ $46.1,Шар-Курылыс,Шар-Курылыс,"просп. Туран / ул. Керей, Жәнібек хандар",«Алтын Шар 2» – это ультрасовременный жилой комплекс с комфортабельными квартирами.
//storage.googleapis.com/bd-kz-01/layouts-180x180/79954.png,2,62.38–70.09 м2,от ‍390 000 ₸ / м2≈ $900,от ‍24 328 200 ₸≈ $56 030
//storage.googleapis.com/bd-kz-01/layouts-180x180/79967.png,3,80.77–91.19 м2,от ‍390 000 ₸ / м2≈ $900,от ‍31 500 300 ₸≈ $72 550
Класс,IV класс (эконом)
Количество домов,3
Наличие лифта,1–3 лифта (1–2 грузопассажирских и легковой)
Отопление,центральное
Паркинг,отсутствует
Стены,железобетон
Территория,закрытый двор
Технология строительства,панельная
Утепление,минеральная вата
Этажность,7–22
"['Класс', 'IV класс (эконом)']"
"['Количество домов', '3']"
"['Наличие лифта', '1–3 лифта (1–2 грузопассажирских и легковой)']"
"['Отопление', 'центральное']"
"['Паркинг', 'отсутствует']"
"['Стены', 'железобетон']"
"['Территория', 'закрытый двор']"
"['Технология строительства', 'панельная']"
"['Утепление', 'минеральная вата']"
"['Этажность', '7–22']"
